name,place_id,business_status,rating,user_ratings_total,vicinity
La Vie a la Campagne,ChIJ3ysSkkmLGGARha1VgACeWo0,OPERATIONAL,3.6,154,"2-chōme-24-12 Kamimeguro, Meguro City"
Blue Bottle Coffee Naka-Meguro Cafe,ChIJ3bHLRDaLGGAR_VfCWnvJ4j8,OPERATIONAL,4.2,814,"3-chōme-23-16 Nakameguro, Meguro City"
Kakaoetto Paris,ChIJn0HMm02LGGARmeVrUa7_NCQ,OPERATIONAL,4.3,150,"1-chōme-9-6 Higashiyama, Meguro City"
Cafe Colorado,ChIJxdFIAkmLGGARRkNM8s_m7L4,OPERATIONAL,3.4,90,"中目黒ＧＴプラザ, 2-chōme-1−３ Kamimeguro, Meguro City"
torse,ChIJLYIkWjm3JhURFwt3wtgWErQ,OPERATIONAL,3.7,293,"第２Ｔ＆Ｆビル ２Ｆ, 5-chōme Shimouma, Setagaya City"
THE CITY BAKERY Nakameguro,ChIJU6d3JEqLGGAROj60TDOwL8Q,OPERATIONAL,3.9,535,"3-chōme-4-15 Kamimeguro, Meguro City"
Taste AND Sense,ChIJgSQlNU-LGGARtx1LIOOhq1E,OPERATIONAL,4,107,"１F B-TOWN, 1-chōme-7−１３ Kamimeguro, Meguro City"
Sanchome no Coffee,ChIJleVbXDaLGGARIzLQKTKxQkw,OPERATIONAL,4.2,45,"3-chōme-24-16 Nakameguro, Meguro City"
Starbucks Coffee - Naka-Meguro Tsutaya Books,ChIJTUCt3EiLGGAROnoKHNtSdfc,OPERATIONAL,4,299,"1-chōme-22-10 Kamimeguro, Meguro City"
FRAMES Nakameguro,ChIJQTUAK0-LGGARHCnve2yjtPw,OPERATIONAL,3.6,450,"ＮＭビル 1F, 1-chōme-18−６ Kamimeguro, Meguro City"
Starbucks Coffee - Nakameguro Yamate-dori Avenue,ChIJQ7wAyE6LGGARUHG3s2QFEjQ,OPERATIONAL,4,414,"Prime Urban Naka Meguro II, 3-chōme-1-3 Kamimeguro, Meguro City"
cafe carat,ChIJQTUAK0-LGGARhUiXG6DBG0Q,OPERATIONAL,3.8,126,"B１F, 1-chōme-18−６ Kamimeguro, Meguro City"
Hummingbird coffee,ChIJRSlxTsz0GGARvGVbPtNiTrM,OPERATIONAL,4.2,130,"鎌倉荘 102, 2-chōme-15−２２ Takaban, Meguro City"
coffee caraway,ChIJR9SIYLH0GGARinG_bYDxBrg,OPERATIONAL,3.8,38,"2-chōme-13-1 Gohongi, Meguro City"
喜長,ChIJlfIFy8r0GGARw8Q4vQpHNUU,OPERATIONAL,,,"たちばなビル, 2-chōme-16−１０ Yūtenji, Meguro City"
Yutenji Cafe,ChIJOXP1ysr0GGARIWrlAe2rBwc,OPERATIONAL,3.8,85,"2-chōme-16-1 Yūtenji, Meguro City"
KISSA BOSSA UMINEKO,ChIJYWBQVDWLGGARx1sJHbLpyBc,OPERATIONAL,4.2,34,"クーカイテラス祐天寺 1F, 2-chōme-14−１０ Yūtenji, Meguro City"
